CAP7210,Cours,1,Jeudi,16:45,4:00,20:45,Hebdomadaire,Voir note de haut de page
CAP7220,Cours,1,Lundi,12:45,4:00,16:45,Hebdomadaire,Voir note de haut de page
CAP7230E,Cours,1,Mercredi,16:00,4:00,20:00,Hebdomadaire,Voir note de haut de page
CF100,Cours,1,Lundi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF110,Cours,1,Mardi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF130,Cours,1,Vendredi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF140,Cours,1,Jeudi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF150,Cours,1,Jeudi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF160,Cours,1,Lundi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF170,Cours,1,Lundi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF170,Cours,2,Lundi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF170E,Cours,1,Vendredi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF195,Cours,1,Jeudi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF201,Cours,1,Mercredi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF210,Cours,1,Mercredi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CF270,Cours,1,Mardi,19:00,3:00,22:00,Hebdomadaire,Voir note de haut de page
CHE0501,Cours,1,Lundi,8:30,3:00,11:30,Hebdomadaire,15/12/2025 � 13:30
CHE0501,Cours,2,Mercredi,12:45,3:00,15:45,Hebdomadaire,15/12/2025 � 13:30
CHE0501,Cours,3,Jeudi,13:45,3:00,16:45,Hebdomadaire,15/12/2025 � 13:30
CHE0501,Lab,1,Mercredi,12:45,2:00,14:45,Hebdomadaire,15/12/2025 � 13:30
CHE0501,Lab,2,Vendredi,15:45,2:00,17:45,Hebdomadaire,15/12/2025 � 13:30
CHE0501,Lab,3,Vendredi,15:45,2:00,17:45,Hebdomadaire,15/12/2025 � 13:30
CIV1000,Cours,1,Mercredi,8:30,3:00,11:30,Hebdomadaire,12/12/2025 � 13:30
CIV1000,Lab,1,Jeudi,13:45,6:00,19:45,Hebdomadaire,12/12/2025 � 13:30
CIV1101,Cours,1,Jeudi,8:30,3:00,11:30,Hebdomadaire,16/12/2025 � 9:30
CIV1101,Lab,1,Lundi,8:30,3:00,11:30,Hebdomadaire,16/12/2025 � 9:30
